formula,g,i,intensity,name,q
C16H30N6O6S1,-1,0,45175,c5,1
C16H30N6O6S1,0,0,9227,c5,1
C16H30N6O6S1,4,0,1990,c5,1
C16H30N6O6S1,6,0,33142,c5,1
C16H30N6O6S1,10,0,11954,c5,1
C16H30N6O6S1,14,0,7554,c5,1
C16H30N6O6S1,16,0,66586,c5,1
C38H68N12O13S2,-1,0,15458,c10,2
C38H68N12O13S2,2,0,48015,c10,2
C52H92N16O19S2,2,0,55001,c13,3
C52H92N16O19S2,8,0,196406,c13,3
C52H92N16O19S2,12,0,34648,c13,3
C52H92N16O19S2,15,0,65699,c13,3
C57H101N17O20S3,-1,0,61135,c14,3
C68H120N20O23S3,3,0,30068,c16,4
C77H134N22O26S3,0,0,26813,c18,4
C91H155N25O32S3,2,0,37774,c21,5
C91H155N25O32S3,11,0,13986,c21,5
C91H155N25O32S3,13,0,35910,c21,5
C18H29N4O10,1,0,8920,z4,1
C18H29N4O10,2,0,11377,z4,1
C18H29N4O10,3,0,1542,z4,1
C18H29N4O10,7,0,2492,z4,1
C18H29N4O10,10,0,17621,z4,1
C18H29N4O10,12,0,11786,z4,1
C18H29N4O10,13,0,17226,z4,1
C18H29N4O10,18,0,1514,z4,1
C37H59N10O16,0,0,49425,z8,2
C37H59N10O16,5,0,290706,z8,2
C37H59N10O16,8,0,19575,z8,2
C55H94N15O19,1,0,22733,z11,3
C55H94N15O19,5,0,8704,z11,3
C55H94N15O19,7,0,154690,z11,3
C55H94N15O19,10,0,14693,z11,3
C57H97N16O20,2,0,56528,z12,3
C57H97N16O20,13,0,34852,z12,3
C57H97N16O20,15,0,5934,z12,3
C57H97N16O20,16,0,19795,z12,3
C74H123N20O27,1,0,38952,z16,4
C74H123N20O27,11,0,14246,z16,4
C74H123N20O27,12,0,14447,z16,4
C77H128N21O29,4,0,21497,z17,4
C16H30N6O6S1,-1,1,46680,c5,1
C16H30N6O6S1,0,1,6226,c5,1
C16H30N6O6S1,4,1,40421,c5,1
C16H30N6O6S1,6,1,28044,c5,1
C16H30N6O6S1,8,1,9936,c5,1
C16H30N6O6S1,11,1,68848,c5,1
C16H30N6O6S1,16,1,67651,c5,1
C46H80N14O18S2,0,1,24346,c12,3
C52H92N16O19S2,8,1,222829,c13,3
C52H92N16O19S2,11,1,57027,c13,3
C77H134N22O26S3,-1,1,42578,c18,4
C115H197N33O37S3,1,1,34363,c26,6
C115H197N33O37S3,5,1,53133,c26,6
C144H237N39O45S3,11,1,73191,c31,7
C18H29N4O10,0,1,58623,z4,1
C18H29N4O10,4,1,13575,z4,1
C18H29N4O10,6,1,2616,z4,1
C18H29N4O10,13,1,19853,z4,1
C33H52N9O14,2,1,9701,z7,2
C37H59N10O16,0,1,72842,z8,2
C37H59N10O16,6,1,623501,z8,2
C55H94N15O19,0,1,29217,z11,3
C55H94N15O19,6,1,111524,z11,3
C57H97N16O20,8,1,5120,z12,3
C57H97N16O20,9,1,3060,z12,3
C57H97N16O20,15,1,21607,z12,3
C57H97N16O20,16,1,5581,z12,3
C62H106N17O21,11,1,197258,z13,3
C74H123N20O27,0,1,27716,z16,4
C74H123N20O27,1,1,5639,z16,4
C74H123N20O27,2,1,11629,z16,4
C74H123N20O27,11,1,35959,z16,4
C74H123N20O27,12,1,3321,z16,4
C95H158N27O36,12,1,115564,z21,5
C116H192N35O43S1,11,1,103686,z26,6
C138H229N42O51S2,1,1,26723,z31,7
C16H30N6O6S1,0,2,50241,c5,1
C16H30N6O6S1,3,2,23092,c5,1
C16H30N6O6S1,4,2,48985,c5,1
C16H30N6O6S1,6,2,49130,c5,1
C16H30N6O6S1,9,2,23012,c5,1
C16H30N6O6S1,14,2,11292,c5,1
C16H30N6O6S1,16,2,25072,c5,1
C16H30N6O6S1,17,2,24439,c5,1
C32H56N10O12S2,9,2,44773,c9,2
C38H68N12O13S2,-1,2,60260,c10,2
C38H68N12O13S2,2,2,36900,c10,2
C38H68N12O13S2,4,2,29486,c10,2
C52H92N16O19S2,13,2,51439,c13,3
C77H134N22O26S3,14,2,9683,c18,4
C91H155N25O32S3,5,2,47800,c21,5
C93H158N26O33S3,0,2,178962,c22,5
C115H197N33O37S3,5,2,28981,c26,6
C18H29N4O10,1,2,3482,z4,1
C18H29N4O10,5,2,11594,z4,1
C18H29N4O10,6,2,12078,z4,1
C18H29N4O10,8,2,1908,z4,1
C18H29N4O10,10,2,18526,z4,1
C18H29N4O10,12,2,3496,z4,1
C18H29N4O10,13,2,18167,z4,1
C37H59N10O16,0,2,51512,z8,2
C37H59N10O16,2,2,8017,z8,2
C37H59N10O16,5,2,295292,z8,2
C37H59N10O16,8,2,26343,z8,2
C37H59N10O16,15,2,39599,z8,2
C55H94N15O19,10,2,17766,z11,3
C57H97N16O20,7,2,14046,z12,3
C57H97N16O20,13,2,39339,z12,3
C62H106N17O21,12,2,36761,z13,3
C74H123N20O27,5,2,22165,z16,4
C77H128N21O29,4,2,12160,z17,4
C77H128N21O29,13,2,59734,z17,4
C95H158N27O36,13,2,135801,z21,5
C767H1213N211O245S5,0,3,114301,precursor,13
C767H1213N211O245S5,6,3,96337,precursor,13
C767H1213N211O245S5,0,3,8343,precursor,14
C767H1213N211O245S5,1,3,261358,precursor,14
C767H1213N211O245S5,2,3,37765,precursor,14
C767H1213N211O245S5,5,3,304941,precursor,14
C767H1213N211O245S5,0,3,4133,precursor,15
C767H1213N211O245S5,1,3,31324,precursor,15
C767H1213N211O245S5,4,3,166876,precursor,15
C767H1213N211O245S5,1,3,2278565,precursor,16
C767H1213N211O245S5,2,3,135485,precursor,16
C767H1213N211O245S5,3,3,165610,precursor,16
C767H1213N211O245S5,0,3,938930,precursor,17
C767H1213N211O245S5,1,3,2823229,precursor,17
C767H1213N211O245S5,0,3,2606130,precursor,18
C767H1213N211O245S5,1,3,837866,precursor,18
C767H1213N211O245S5,0,3,1801233,precursor,19
C11H21N5O5,0,3,12475,c4,1
C16H30N6O6S1,0,3,29263,c5,1
C21H39N7O7S2,-1,3,115427,c6,1
C21H39N7O7S2,0,3,44067,c6,1
C23H42N8O8S2,-1,3,9468,c7,1
C23H42N8O8S2,0,3,148628,c7,1
C27H47N9O11S2,0,3,14403,c8,1
C32H56N10O12S2,0,3,3728,c9,1
C32H56N10O12S2,4,3,35238,c9,1
C32H56N10O12S2,6,3,1530,c9,1
C38H68N12O13S2,0,3,88294,c10,1
C38H68N12O13S2,4,3,13508,c10,1
C38H68N12O13S2,5,3,1453,c10,1
C38H68N12O13S2,6,3,73398,c10,1
C43H75N13O16S2,-1,3,6164,c11,1
C43H75N13O16S2,0,3,109207,c11,1
C43H75N13O16S2,7,3,24987,c11,1
C43H75N13O16S2,8,3,27403,c11,1
C43H75N13O16S2,9,3,32688,c11,1
C43H75N13O16S2,17,3,23064,c11,1
C46H80N14O18S2,0,3,122336,c12,1
C46H80N14O18S2,7,3,6625,c12,1
C46H80N14O18S2,8,3,10913,c12,1
C46H80N14O18S2,9,3,23180,c12,1
C46H80N14O18S2,10,3,15344,c12,1
C46H80N14O18S2,11,3,4196,c12,1
C52H92N16O19S2,3,3,37411,c13,1
C52H92N16O19S2,4,3,235,c13,1
C52H92N16O19S2,5,3,11353,c13,1
C52H92N16O19S2,7,3,15093,c13,1
C52H92N16O19S2,0,3,176478,c13,2
C57H101N17O20S3,0,3,256504,c14,2
C62H109N19O22S3,0,3,101116,c15,2
C68H120N20O23S3,-1,3,5652,c16,2
C68H120N20O23S3,0,3,165894,c16,2
C77H134N22O26S3,1,3,13318,c18,2
C77H134N22O26S3,0,3,34704,c18,3
C82H141N23O29S3,0,3,290537,c19,2
C82H141N23O29S3,1,3,9038,c19,2
C82H141N23O29S3,3,3,5661,c19,2
C82H141N23O29S3,6,3,16418,c19,2
C82H141N23O29S3,11,3,416,c19,2
C82H141N23O29S3,13,3,50678,c19,2
C82H141N23O29S3,0,3,64928,c19,3
C91H155N25O32S3,7,3,13485,c21,2
C91H155N25O32S3,10,3,25315,c21,2
C91H155N25O32S3,11,3,28446,c21,2
C93H158N26O33S3,0,3,156334,c22,2
C93H158N26O33S3,9,3,21215,c22,2
C93H158N26O33S3,10,3,2669,c22,2
C93H158N26O33S3,13,3,34053,c22,2
C93H158N26O33S3,0,3,43458,c22,3
C99H170N30O34S3,8,3,43466,c23,2
C99H170N30O34S3,9,3,17904,c23,2
C99H170N30O34S3,0,3,193955,c23,3
C110H188N32O36S3,0,3,25970,c25,3
C115H197N33O37S3,-1,3,18168,c26,3
C115H197N33O37S3,0,3,57540,c26,3
C115H197N33O37S3,2,3,16510,c26,3
C115H197N33O37S3,3,3,16601,c26,3
C115H197N33O37S3,0,3,24918,c26,4
C121H208N34O38S3,0,3,47198,c27,2
C121H208N34O38S3,1,3,34807,c27,2
C121H208N34O38S3,0,3,170743,c27,3
C121H208N34O38S3,0,3,101869,c27,4
C139H230N38O42S3,-1,3,11432,c30,3
C139H230N38O42S3,0,3,13826,c30,3
C139H230N38O42S3,1,3,232721,c30,3
C139H230N38O42S3,2,3,18941,c30,3
C139H230N38O42S3,-1,3,26339,c30,4
C139H230N38O42S3,0,3,70522,c30,4
C139H230N38O42S3,0,3,14070,c30,5
C144H237N39O45S3,-1,3,7836,c31,3
C144H237N39O45S3,1,3,48266,c31,3
C144H237N39O45S3,-1,3,35442,c31,4
C144H237N39O45S3,0,3,2489,c31,4
C144H237N39O45S3,2,3,75904,c31,4
C152H249N41O48S3,-1,3,47943,c33,3
C152H249N41O48S3,2,3,35912,c33,3
C152H249N41O48S3,-1,3,26094,c33,4
C152H249N41O48S3,0,3,9426,c33,4
C155H254N42O50S3,0,3,111823,c34,3
C155H254N42O50S3,2,3,1794,c34,3
C155H254N42O50S3,0,3,148295,c34,4
C155H254N42O50S3,1,3,18816,c34,4
C155H254N42O50S3,0,3,50571,c34,5
C155H254N42O50S3,1,3,662,c34,5
C159H259N43O53S3,-1,3,35976,c35,3
C159H259N43O53S3,-1,3,2920,c35,4
C159H259N43O53S3,0,3,40216,c35,4
C168H268N44O55S3,0,3,72674,c36,4
C168H268N44O55S3,0,3,12647,c36,5
C171H273N45O57S3,0,3,86534,c37,3
C171H273N45O57S3,2,3,4742,c37,3
C171H273N45O57S3,-1,3,19634,c37,4
C171H273N45O57S3,0,3,116179,c37,4
C171H273N45O57S3,1,3,85858,c37,4
C171H273N45O57S3,0,3,38722,c37,5
C171H273N45O57S3,1,3,3800,c37,5
C175H279N47O59S3,0,3,50480,c38,4
C175H279N47O59S3,3,3,17422,c38,4
C187H297N51O61S3,-1,3,12739,c40,4
C187H297N51O61S3,0,3,77620,c40,4
C187H297N51O61S3,12,3,65296,c40,4
C187H297N51O61S3,0,3,19123,c40,5
C187H297N51O61S3,1,3,39799,c40,5
C187H297N51O61S3,3,3,723,c40,5
C197H312N54O66S3,1,3,34406,c42,4
C197H312N54O66S3,-1,3,32490,c42,5
C201H319N55O68S3,10,3,50899,c43,4
C201H319N55O68S3,0,3,30957,c43,5
C201H319N55O68S3,12,3,13250,c43,5
C207H330N56O69S3,-1,3,7152,c44,5
C207H330N56O69S3,0,3,61701,c44,5
C210H335N57O70S3,-1,3,5540,c45,4
C210H335N57O70S3,-1,3,64035,c45,5
C210H335N57O70S3,0,3,6518,c45,5
C210H335N57O70S3,1,3,24033,c45,5
C218H347N59O73S3,-1,3,77880,c47,4
C218H347N59O73S3,0,3,45840,c47,4
C218H347N59O73S3,2,3,39585,c47,4
C218H347N59O73S3,-1,3,60389,c47,5
C218H347N59O73S3,0,3,269259,c47,5
C218H347N59O73S3,1,3,5730,c47,5
C218H347N59O73S3,0,3,58638,c47,6
C218H347N59O73S3,1,3,11774,c47,6
C218H347N59O73S3,4,3,3095,c47,6
C221H352N60O75S3,1,3,23235,c48,4
C221H352N60O75S3,3,3,55352,c48,4
C221H352N60O75S3,-1,3,50723,c48,5
C221H352N60O75S3,1,3,222212,c48,5
C221H352N60O75S3,0,3,27868,c48,6
C221H352N60O75S3,1,3,69880,c48,6
C221H352N60O75S3,1,3,12307,c48,7
C221H352N60O75S3,2,3,12271,c48,7
C221H352N60O75S3,4,3,391,c48,7
C226H361N61O76S3,-1,3,62198,c49,5
C226H361N61O76S3,1,3,36864,c49,5
C226H361N61O76S3,-1,3,14888,c49,6
C226H361N61O76S3,0,3,1666,c49,6
C226H361N61O76S3,3,3,11203,c49,6
C235H370N62O77S3,0,3,79334,c50,5
C235H370N62O77S3,1,3,23895,c50,5
C235H370N62O77S3,8,3,10526,c50,5
C235H370N62O77S3,-1,3,34951,c50,6
C235H370N62O77S3,0,3,61819,c50,6
C235H370N62O77S3,4,3,15452,c50,6
C241H382N64O78S3,-1,3,21472,c51,5
C241H382N64O78S3,0,3,123285,c51,5
C241H382N64O78S3,6,3,9107,c51,5
C241H382N64O78S3,-1,3,36011,c51,6
C241H382N64O78S3,1,3,151938,c51,6
C241H382N64O78S3,0,3,52063,c51,7
C244H387N65O80S3,0,3,56047,c52,5
C244H387N65O80S3,1,3,6904,c52,5
C244H387N65O80S3,2,3,40666,c52,5
C244H387N65O80S3,11,3,31343,c52,5
C244H387N65O80S3,-1,3,63158,c52,6
C244H387N65O80S3,0,3,64788,c52,6
C244H387N65O80S3,6,3,6210,c52,6
C244H387N65O80S3,7,3,15130,c52,6
C248H394N66O82S3,5,3,15991,c53,5
C248H394N66O82S3,8,3,32888,c53,5
C248H394N66O82S3,10,3,140680,c53,5
C248H394N66O82S3,-1,3,691,c53,6
C248H394N66O82S3,0,3,150820,c53,6
C248H394N66O82S3,2,3,15481,c53,6
C254H406N68O83S3,-1,3,90013,c54,6
C254H406N68O83S3,2,3,36631,c54,6
C254H406N68O83S3,-1,3,118260,c54,7
C265H424N70O85S3,0,3,47896,c56,5
C265H424N70O85S3,1,3,88094,c56,5
C265H424N70O85S3,0,3,415776,c56,6
C265H424N70O85S3,1,3,7228,c56,6
C265H424N70O85S3,0,3,329644,c56,7
C265H424N70O85S3,1,3,852,c56,7
C265H424N70O85S3,3,3,4744,c56,7
C265H424N70O85S3,-1,3,5496,c56,8
C265H424N70O85S3,0,3,24186,c56,8
C274H438N72O88S3,-1,3,30165,c58,6
C274H438N72O88S3,0,3,27457,c58,6
C274H438N72O88S3,-1,3,52180,c58,7
C274H438N72O88S3,2,3,13987,c58,7
C276H441N73O89S3,1,3,30579,c59,8
C282H453N75O90S3,-1,3,61972,c60,6
C282H453N75O90S3,1,3,46608,c60,6
C282H453N75O90S3,2,3,44086,c60,6
C282H453N75O90S3,6,3,12600,c60,6
C282H453N75O90S3,0,3,98533,c60,7
C291H462N76O91S3,-1,3,20475,c61,5
C291H462N76O91S3,0,3,34647,c61,5
C291H462N76O91S3,2,3,12720,c61,5
C291H462N76O91S3,-1,3,81461,c61,6
C291H462N76O91S3,0,3,86029,c61,6
C291H462N76O91S3,2,3,79374,c61,6
C291H462N76O91S3,0,3,159602,c61,7
C291H462N76O91S3,1,3,26545,c61,7
C291H462N76O91S3,-1,3,40339,c61,8
C297H474N80O92S3,0,3,14444,c62,6
C297H474N80O92S3,1,3,63059,c62,6
C297H474N80O92S3,0,3,208602,c62,7
C297H474N80O92S3,1,3,56809,c62,7
C297H474N80O92S3,0,3,208367,c62,8
C297H474N80O92S3,1,3,1720,c62,8
C297H474N80O92S3,3,3,8086,c62,8
C297H474N80O92S3,0,3,5544,c62,9
C297H474N80O92S3,1,3,26095,c62,9
C308H484N82O93S3,-1,3,27301,c63,6
C308H484N82O93S3,1,3,101999,c63,6
C308H484N82O93S3,2,3,16908,c63,6
C308H484N82O93S3,-1,3,18171,c63,7
C308H484N82O93S3,0,3,224889,c63,7
C308H484N82O93S3,1,3,41508,c63,7
C308H484N82O93S3,0,3,164572,c63,8
C308H484N82O93S3,4,3,7807,c63,8
C308H484N82O93S3,5,3,1010,c63,8
C311H489N83O95S3,0,3,52804,c64,7
C317H500N84O96S3,1,3,76722,c65,6
C317H500N84O96S3,3,3,7319,c65,6
C317H500N84O96S3,-1,3,23451,c65,7
C317H500N84O96S3,0,3,159839,c65,7
C317H500N84O96S3,-1,3,6129,c65,8
C317H500N84O96S3,0,3,173372,c65,8
C317H500N84O96S3,3,3,1168,c65,8
C321H505N85O99S3,0,3,12393,c66,6
C321H505N85O99S3,3,3,41268,c66,6
C321H505N85O99S3,0,3,132392,c66,7
C321H505N85O99S3,1,3,128316,c66,7
C321H505N85O99S3,-1,3,69220,c66,8
C321H505N85O99S3,0,3,47627,c66,8
C326H513N87O101S3,-1,3,39506,c67,7
C326H513N87O101S3,2,3,74884,c67,7
C326H513N87O101S3,-1,3,13136,c67,8
C332H524N88O102S3,-1,3,31290,c68,7
C332H524N88O102S3,0,3,54238,c68,7
C332H524N88O102S3,1,3,38227,c68,7
C332H524N88O102S3,-1,3,28507,c68,8
C335H529N89O103S3,0,3,146033,c69,7
C346H549N91O105S3,0,3,129807,c71,7
C346H549N91O105S3,1,3,15820,c71,7
C346H549N91O105S3,2,3,6209,c71,7
C346H549N91O105S3,-1,3,9869,c71,8
C346H549N91O105S3,0,3,24978,c71,8
C346H549N91O105S3,10,3,62391,c71,8
C346H549N91O105S3,0,3,19608,c71,9
C355H562N94O108S3,9,3,37006,c73,7
C355H562N94O108S3,0,3,2795,c73,8
C355H562N94O108S3,1,3,21303,c73,8
C355H562N94O108S3,4,3,66093,c73,8
C360H571N95O109S3,0,3,69672,c74,7
C360H571N95O109S3,2,3,13348,c74,7
C360H571N95O109S3,-1,3,57573,c74,8
C360H571N95O109S3,1,3,93698,c74,8
C360H571N95O109S3,-1,3,4011,c74,9
C360H571N95O109S3,0,3,101659,c74,9
C360H571N95O109S3,4,3,11352,c74,9
C371H589N97O113S3,0,3,73178,c76,7
C371H589N97O113S3,1,3,61772,c76,7
C371H589N97O113S3,-1,3,120191,c76,8
C371H589N97O113S3,3,3,183346,c76,8
C371H589N97O113S3,0,3,1454,c76,9
C371H589N97O113S3,2,3,167811,c76,9
C371H589N97O113S3,3,3,23021,c76,9
C380H601N99O117S3,0,3,62342,c78,8
C385H608N100O120S3,-1,3,39625,c79,7
C385H608N100O120S3,2,3,120034,c79,7
C385H608N100O120S3,3,3,17920,c79,7
C385H608N100O120S3,-1,3,100191,c79,8
C385H608N100O120S3,0,3,86522,c79,8
C385H608N100O120S3,2,3,95149,c79,8
C385H608N100O120S3,-1,3,89857,c79,9
C385H608N100O120S3,2,3,111099,c79,9
C401H631N105O125S3,0,3,63499,c82,9
C415H656N112O129S3,1,3,70161,c85,8
C421H667N113O130S3,0,3,23611,c86,10
C430H676N114O132S3,-1,3,22278,c87,8
C430H676N114O132S3,0,3,86944,c87,8
C430H676N114O132S3,1,3,40686,c87,8
C430H676N114O132S3,2,3,135021,c87,8
C430H676N114O132S3,2,3,103383,c87,9
C430H676N114O132S3,0,3,87389,c87,10
C430H676N114O132S3,1,3,43786,c87,10
C436H687N115O133S3,0,3,28475,c88,8
C436H687N115O133S3,2,3,118129,c88,8
C436H687N115O133S3,-1,3,108810,c88,9
C436H687N115O133S3,2,3,11768,c88,9
C436H687N115O133S3,0,3,65511,c88,10
C439H692N116O135S3,-1,3,3008,c89,9
C439H692N116O135S3,3,3,125239,c89,9
C445H699N119O136S3,-1,3,14288,c90,9
C445H699N119O136S3,0,3,63857,c90,9
C445H699N119O136S3,2,3,10462,c90,9
C445H699N119O136S3,-1,3,70726,c90,10
C445H699N119O136S3,0,3,16252,c90,10
C445H699N119O136S3,2,3,69073,c90,10
C445H699N119O136S3,1,3,45203,c90,11
C448H704N120O138S3,0,3,47893,c91,9
C448H704N120O138S3,1,3,159418,c91,9
C448H704N120O138S3,0,3,173825,c91,10
C448H704N120O138S3,1,3,84169,c91,11
C454H716N124O139S3,1,3,1360,c92,9
C454H716N124O139S3,6,3,64509,c92,9
C454H716N124O139S3,0,3,4653,c92,11
C454H716N124O139S3,2,3,39440,c92,11
C464H732N126O143S3,0,3,105652,c94,10
C464H732N126O143S3,-1,3,45575,c94,11
C464H732N126O143S3,2,3,34480,c94,11
C470H744N128O144S3,-1,3,1985,c95,9
C470H744N128O144S3,2,3,105582,c95,9
C470H744N128O144S3,1,3,77268,c95,10
C470H744N128O144S3,0,3,97674,c95,11
C479H758N130O148S3,-1,3,16695,c97,10
